"","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec","quant_ells","units_ells","ID","colorGroup","orig_country","dest_country"
"682","VOC","1 ship: Kasteel Batavia",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Cirebon","Northwest coast of Java, Indonesia",-6.6898,108.475,1,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",25,25,NA,NA,"VOC_682","grey","Indonesia","Indonesia"
"683","VOC","1 ship: Huis te Loo",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,NA,"Thailand",8.4324,99.9599,4,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,280,NA,NA,"VOC_683","grey","Indonesia","Thailand"
"684","VOC","2 ships: Ellemeet, Charlois",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Banda-Neira","Banda Islands, Maluku, Indonesia",-4.5549,129.8575,2,"rol",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,140,NA,NA,"VOC_684","grey","Indonesia","Maluku"
"685","VOC","1 ship: Huis ter Boede",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Banda-Neira","Banda Islands, Maluku, Indonesia",-4.5549,129.8575,2,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,140,NA,NA,"VOC_685","grey","Indonesia","Maluku"
"686","VOC","1 ship: Huis te Bijweg (fluitschip)",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Ternate","Maluku, Indonesia",0.771,127.3695,5,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,350,NA,NA,"VOC_686","grey","Indonesia","Indonesia"
"687","VOC","1 ship: Bentveld",1712,"Amsterdam","Netherlands",52.3679,4.9035,1712,"Colombo","Sri Lanka",7.873,80.7717,24,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",52,1229.3,NA,NA,"VOC_687","grey","Netherlands","Sri Lanka"
"688","VOC","1 ship: Loosdrecht",1715,"Amsterdam","Netherlands",52.3679,4.9035,1715,"Colombo","Sri Lanka",7.873,80.7717,529,"el",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Inexpensive",1,387.45,NA,NA,"VOC_688","grey","Netherlands","Sri Lanka"
"689","VOC","4 ships: Oosterstein, Hoedekenskerke, Beverwijk, Huis te Rozenburg",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,NA,"Southeast coast of India",16.1905,81.1361,4,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,280,NA,NA,"VOC_689","grey","Indonesia","India"
"690","VOC","2 ships: Mijnden, Huis ter Boede",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,NA,"Malabar, Southwest coast of India",10,76.25,5,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,350,NA,NA,"VOC_690","grey","Indonesia","India"
"691","VOC","1 ship: Huis ter Duine",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Malacca City","Malacca, Southwest Malaysia",2.1895,102.25,3,"pees",NA,"Everdoek","grey",NA,NA,NA,NA,NA,"Expensive",70,210,NA,NA,"VOC_691","grey","Indonesia","Malaysia"
