"","X1","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","quant_ells","units_ells","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec"
"77",77,"WIC","Ship: Eva Maria 2",1712,"Vlissingen","Netherlands",51.455681,3.57649,1712,"Elmina","Ghana",5.0847,-1.35093,34,"ps.",34,NA,NA,"dekens",NA,NA,NA,NA,"Leiden",NA,"Inexpensive",3.25,110.5
"78",78,"WIC","Ship: Bosbeek",1712,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,20,"ps.",20,NA,NA,"dekens","green",NA,NA,NA,"Leiden",NA,"Mid-range",4.5,90
"79",79,"WIC","Ship: Bosbeek",1712,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,10,"ps.",10,NA,NA,"dekens","red",NA,NA,NA,"Leiden",NA,"Mid-range",4.5,45
"80",80,"WIC","Ship: Bosbeek",1712,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,10,"ps.",10,NA,NA,"dekens","white",NA,NA,NA,"Leiden",NA,"Mid-range",4.5,45
"81",81,"WIC","Ship: Africaanse Galeij",1713,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,62,"ps",62,NA,NA,"dekens",NA,NA,NA,NA,"Leiden",NA,"Inexpensive",3.2,198.4
"82",82,"WIC","Ship: Africaanse Galeij",1713,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,21,"ps.",21,NA,NA,"dekens",NA,NA,NA,NA,"Leiden",NA,"Inexpensive",3.2,67.2
"83",83,"WIC","Ship: Jacoba Galeij",1713,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,62,"ps.",62,NA,NA,"dekens","green",NA,NA,NA,NA,NA,"Inexpensive",3.2,198.4
"84",84,"WIC","Ship: Jacoba Galeij",1713,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,21,"ps.",21,NA,NA,"dekens","white",NA,NA,NA,NA,NA,"Inexpensive",3.2,67.2
"85",85,"WIC","Ship: St. Marcus",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Ouidah","Benin",6.3601,2.08266,125,"ps.",125,NA,NA,"dekens","green",NA,NA,NA,"Leiden",NA,"Mid-range",4.2496,531.2
"86",86,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,135,"ps.",135,NA,NA,"dekens","green",NA,NA,NA,"Leiden",NA,"Inexpensive",3.25,438.75
